CIDADE ;N estação;Cód.estação;N;Curso;DATA;Ano;Meses;Sazonal;Pluviosidade;MEI;Vazão;TempAr;TempAmostra;pH;SolsuspTot;SoldissTot;ConcentraMatSusp;Turbidez ;CondEle;OD;CondEsp
Colinas;4;33480000;602;Alto Curso;04/05/2022;2022;maio;chuvoso;24,02803403;-1.63;49,8959;30;27,51;6,94;;;20,8;29;25,3;7,09;29,3
Caxias;6;33550000;603;Médio Curso;04/05/2022;2022;maio;chuvoso;115,4407623;-1.63;230,2716;32,1;29;7,48;;;34,6;36;114,6;7,16;136,1
Codó;9;33590000;604;Baixo curso;04/05/2022;2022;maio;chuvoso;141,0824554;-1.63;139,3521;32;29;7,39;;;;44,2;116,2;7,07;137,9
Cantanhede (Itapecuru mirim);14;33685000;605;Baixo curso;04/05/2022;2022;maio;chuvoso;250,9993906;-1.63;92,9767;28,4;28,27;6,89;3;63,3;;59,86;85;6,28;97,4
Cantanhede 2;15;33680001;606;Baixo curso;04/05/2022;2022;maio;chuvoso;250,9993906;-1.63;109,764;30;28,5;6,8;54,5;240;;41,4;44;5,85;128,5
Itapecuru mirim;16;33690000;607;Baixo curso;04/05/2022;2022;maio;chuvoso;313,1327629;-1.63;46,9957;28,2;28,48;6,83;9;60,74;;52,4;41,8;75,8;92,8
Santa Rita;17;33693000;608;Baixo curso;04/05/2022;2022;maio;chuvoso;312,7185028;-1.63;116,6135;26,28;28,25;6,78;3,5;59,369;;61,77;53;6,11;91,3
Rosário 2;18;33698050;609;Baixo curso;04/05/2022;2022;maio;chuvoso;371,3517022;-1.63;26,612;24,77;28,3;6,74;3,5;56,04;;42,2;11,5;5,81;86,8
Rosário;19;33698000;610;Baixo curso;04/05/2022;2022;maio;chuvoso;365,3842878;-1.63;114,8507;28,23;6,83;7,02;5;60,68;;42,6;103,6;5,65;92,9
Coroatá ;11;33630000;734;Baixo curso;17/05/2022;2022;maio;chuvoso;199,623508;-1.63;48,3917;31;29;7,27;;;;62;117,8;7,04;139,9
Caxias;6;33550000;611;Médio Curso;10/06/2022;2022;junho;chuvoso;82,680078;-1.90;320,2539;30;27,9;7,47;;;;65,9;87,3;7,66;101,6
Coroatá ;11;33630000;735;Baixo curso;06/07/2022;2022;julho;chuvoso;25,09732628;-2.17;11,982;31;29;7,09;;;;31;97,6;7,41;115,9
Codó;9;33590000;612;Baixo curso;07/07/2022;2022;julho;chuvoso;7,971074581;-2.17;51,3744;31;28;7,04;;;;44,5;73,6;7,31;85,8
Colinas;4;33480000;613;Alto Curso;08/07/2022;2022;julho;chuvoso;0;-2.17;38,881;30;26,48;6,08;;;;16,6;16;7,45;18,2
Cantanhede ;13;33680000;615;Baixo curso;12/07/2022;2022;julho;chuvoso;46,74692583;-2.17;67,0805;30;29,3;7,84;;;20,3;20,5;103,6;7,99;123,7
Governador Eugenio Barros (MONTEVIDEU);3;33530000;736;Médio Curso;12/07/2022;2022;julho;chuvoso;5,951257706;-2.17;129,6657;30;26;6,93;;;;46,3;44,9;7,48;50,5
Mirador;2;33420000;737;Alto Curso;27/07/2022;2022;julho;chuvoso;5,951257706;-2.17;12,1781;33,8;25,85;7,01;;;;30;10,6;7,87;11,9
Mirador (São Felinho);1;33410000;617;Alto Curso;28/07/2022;2022;julho;chuvoso;0;-2.17;54,08;28,1;25,3;6,16;;;;11;7,7;7,9;8,6
Caxias;6;33550000;618;Médio Curso;20/09/2022;2022;setembro;estiagem;3,934456177;-1.73;22,566;32,1;30,6;7,37;;;;14,5;38,4;7,8;46,9
Coroatá ;11;33630000;738;Baixo curso;27/09/2022;2022;setembro;estiagem;3,874573484;-1.73;36,7476;32;30;7,2;;;;28,2;58,7;7,36;70,9
Codó;9;33590000;619;Baixo curso;28/09/2022;2022;setembro;estiagem;3,149350218;-1.73;35,2124;32;31;7,41;;;;48,2;43,7;7,5;53,7
Governador Eugenio Barros (MONTEVIDEU);3;33530000;739;Médio Curso;30/09/2022;2022;setembro;estiagem;28,74470453;-1.73;12,5688;31;29;6,8;;;;58,8;29,1;7,25;34,6
Cantanhede ;13;33680000;621;Baixo curso;06/10/2022;2022;outubro;estiagem;20,4261961;-1.73;34,2834;30,8;29,1;8,12;;;;29,5;68,8;8,06;84,3
Mirador (São Felinho);1;33410000;622;Alto Curso;14/11/2022;2022;novembro;estiagem;60,38642025;-1.53;44,8465;30,6;27,53;6,11;;;;9,4;9,9;7,33;11,4
Mirador;2;33420000;740;Alto Curso;17/11/2022;2022;novembro;estiagem;186,3025115;-1.53;12,6634;31,5;29,3;6,69;;;;30;14,2;7,11;17
Caxias;6;33550000;624;Médio Curso;09/02/2023;2023;fevereiro;chuvoso;231,6815448;-0.91;129,6657;30;28,1;6,89;;;47,96;50,7;114,7;6,68;134
Cantanhede ;13;33680000;625;Baixo curso;07/03/2023;2023;março;chuvoso;396,1296911;-0.76;105,0696;33;29;7,13;;;98,33;86,2;123,8;6,45;147
Colinas;4;33480000;626;Alto Curso;21/03/2023;2023;março;chuvoso;291,5553954;-0.76;59,1795;29;27;6,6;;;68,78;115;54,8;5,85;62,8
Colinas;4;33480000;627;Alto Curso;26/04/2023;2023;abril;chuvoso;127,2853849;-0.37;58,7275;28;30;6,8;;;87;24,5;0;6,82;0
Caxias;6;33550000;628;Médio Curso;17/05/2023;2023;maio;chuvoso;72,27394485;-0.06;40,77;32;29,4;7;;;51,1;60,2;82;8;98
Colinas;4;33480000;629;Alto Curso;02/06/2023;2023;junho;chuvoso;0;0.43;37,757;31,1;27,2;6,68;;;19,2;21,9;20,4;7,23;23,5
Cantanhede ;13;33680000;630;Baixo curso;19/09/2023;2023;setembro;estiagem;12,3633709;0.68;30,1766;34;31,2;8,59;;;;23,4;67,4;8,16;83,1
Colinas;4;33480000;631;Alto Curso;30/10/2023;2023;outubro;estiagem;15,92148912;0.48;29,357;33;29;6,87;;;;32,7;41;7,22;71,8
Caxias;6;33550000;632;Médio Curso;15/11/2023;2023;novembro;estiagem;42,39281464;0.91;87,2096;34;31;7,37;;;3,8;51,8;41,7;7,6;51,3
Caxias;6;33550000;633;Médio Curso;11/03/2024;2024;março;chuvoso;311,4479141;0.78;158,3498;32;29,53;8,1;;;37,4;102;148,8;6,41;124,2
Colinas;4;33480000;634;Alto Curso;13/03/2024;2024;março;chuvoso;311,6348364;0.78;60,6892;32;28;6,5;;;25,2;36,8;30,9;6,5;36
Cantanhede ;13;33680000;635;Baixo curso;14/03/2024;2024;março;chuvoso;364,167063;0.78;973,969;34;34;5;;;;108;66;8;98
Colinas;4;33480000;636;Alto Curso;25/04/2024;2024;abril;chuvoso;324,6391554;0.34;97,6553;31;27;0;;;;42;0;0;0
Cantanhede ;13;33680000;637;Baixo curso;12/08/2024;2024;agosto;estiagem;3,085306492;-0.73;36,6996;36;32,2;6,5;;;;15,7;51;5,35;49,4
